group_name	dmel_cre_id	category	focal_species	focal_climate	focal_state	comparison_species	comparison_climate	comparison_consensus_state	dtei	d_simulans	d_lutescens	dsuz
teissieri_group	DMEL_CRE_00001	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00002	comparison_mixed	dtei	TROP	uncertain	d_simulans|d_lutescens|dsuz	TEMP	mixed	uncertain	no_detected_CRE	uncertain	uncertain
teissieri_group	DMEL_CRE_00003	tier2	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00004	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	present	present	turnover_candidate
teissieri_group	DMEL_CRE_00005	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00006	comparison_mixed	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	mixed	present	no_detected_CRE	no_detected_CRE	present
teissieri_group	DMEL_CRE_00007	comparison_mixed	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	mixed	turnover_candidate	present	no_detected_CRE	turnover_candidate
teissieri_group	DMEL_CRE_00008	comparison_mixed	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	mixed	present	present	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00009	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	present	no_detected_CRE	present	present	present
teissieri_group	DMEL_CRE_00010	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00011	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	present	turnover_candidate	no_detected_CRE
teissieri_group	DMEL_CRE_00012	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	present	turnover_candidate	no_detected_CRE
teissieri_group	DMEL_CRE_00013	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00014	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	present	present	no_detected_CRE
teissieri_group	DMEL_CRE_00015	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00016	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00017	tier1	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	present	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00018	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00019	comparison_mixed	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	mixed	turnover_candidate	turnover_candidate	turnover_candidate	present
teissieri_group	DMEL_CRE_00020	comparison_mixed	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	mixed	turnover_candidate	present	turnover_candidate	present
teissieri_group	DMEL_CRE_00021	comparison_mixed	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	mixed	turnover_candidate	turnover_candidate	present	turnover_candidate
teissieri_group	DMEL_CRE_00022	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00023	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	present
teissieri_group	DMEL_CRE_00024	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	no_detected_CRE	present	no_detected_CRE
teissieri_group	DMEL_CRE_00025	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00026	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	present	no_detected_CRE	turnover_candidate
teissieri_group	DMEL_CRE_00027	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00028	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	present	no_detected_CRE	present
teissieri_group	DMEL_CRE_00029	comparison_mixed	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	mixed	present	present	present	turnover_candidate
teissieri_group	DMEL_CRE_00030	tier1	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	present	turnover_candidate	present	present	present
teissieri_group	DMEL_CRE_00031	comparison_mixed	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	mixed	turnover_candidate	turnover_candidate	present	present
teissieri_group	DMEL_CRE_00032	all_same	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00033	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	present	present	no_detected_CRE
teissieri_group	DMEL_CRE_00034	comparison_mixed	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	mixed	present	present	present	no_detected_CRE
teissieri_group	DMEL_CRE_00035	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	present	no_detected_CRE	present	present	present
teissieri_group	DMEL_CRE_00036	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00037	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00038	comparison_mixed	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	mixed	present	turnover_candidate	turnover_candidate	no_detected_CRE
teissieri_group	DMEL_CRE_00039	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00040	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00041	tier2	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	present	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00042	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	present
teissieri_group	DMEL_CRE_00043	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate
teissieri_group	DMEL_CRE_00044	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	no_detected_CRE	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00045	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00046	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	present	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00047	comparison_mixed	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	mixed	present	no_detected_CRE	no_detected_CRE	present
teissieri_group	DMEL_CRE_00048	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00049	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00050	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00051	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	turnover_candidate	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00052	all_same	dtei	TROP	present	d_simulans|d_lutescens|dsuz	TEMP	present	present	present	present	present
teissieri_group	DMEL_CRE_00053	all_same	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00054	all_same	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00055	comparison_mixed	dtei	TROP	turnover_candidate	d_simulans|d_lutescens|dsuz	TEMP	mixed	turnover_candidate	present	turnover_candidate	no_detected_CRE
teissieri_group	DMEL_CRE_00056	tier2	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	turnover_candidate	no_detected_CRE	turnover_candidate	turnover_candidate	turnover_candidate
teissieri_group	DMEL_CRE_00057	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	turnover_candidate	present	turnover_candidate
teissieri_group	DMEL_CRE_00058	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	turnover_candidate	turnover_candidate	present
teissieri_group	DMEL_CRE_00059	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	present	no_detected_CRE	turnover_candidate
teissieri_group	DMEL_CRE_00060	comparison_mixed	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	mixed	no_detected_CRE	no_detected_CRE	no_detected_CRE	turnover_candidate
teissieri_group	DMEL_CRE_00061	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00062	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
teissieri_group	DMEL_CRE_00063	all_same	dtei	TROP	no_detected_CRE	d_simulans|d_lutescens|dsuz	TEMP	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE
