dmel_cre_id	d_repleta	d_buzzatii	d_mojavensis	d_arizonae	pattern_class	tier	discordant_species	discordant_state	consensus_state	n_consensus_species	group_name	group_species	n_group_species
DMEL_CRE_00001	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00002	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00003	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00004	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00005	no_detected_CRE	turnover_candidate	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00007	no_detected_CRE	uncertain	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00008	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00010	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00012	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00013	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00014	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00015	uncertain	uncertain	no_detected_CRE	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00016	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00017	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00018	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00019	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00020	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00021	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00023	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00025	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00026	turnover_candidate	no_detected_CRE	no_detected_CRE	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00027	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00028	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00029	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00032	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00033	no_detected_CRE	no_detected_CRE	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00034	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00035	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00036	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00037	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00038	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00039	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00040	no_detected_CRE	uncertain	no_detected_CRE	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00041	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00044	turnover_candidate	uncertain	present	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00045	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00046	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00047	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00048	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00049	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00051	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00052	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00053	present	turnover_candidate	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00054	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00056	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00058	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00059	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00060	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00061	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00062	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00063	uncertain	no_detected_CRE	no_detected_CRE	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00064	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00065	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00066	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00067	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00068	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00070	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00071	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00072	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00073	turnover_candidate	uncertain	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00074	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00076	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00078	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00079	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00080	turnover_candidate	present	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00081	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00083	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00084	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00086	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00088	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00089	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00090	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00091	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00093	present	turnover_candidate	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00094	present	turnover_candidate	turnover_candidate	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00096	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00097	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00098	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00099	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00100	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00101	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00103	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00104	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00105	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00106	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00107	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00108	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00109	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00110	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00111	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00113	no_detected_CRE	turnover_candidate	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00115	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00116	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00118	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00119	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00122	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00123	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00125	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00126	uncertain	no_detected_CRE	present	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00127	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00128	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00129	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00131	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00132	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00133	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00134	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00135	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00136	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00137	uncertain	turnover_candidate	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00138	present	no_detected_CRE	no_detected_CRE	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00140	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00141	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00142	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00143	turnover_candidate	no_detected_CRE	turnover_candidate	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00144	uncertain	turnover_candidate	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00146	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00149	no_detected_CRE	no_detected_CRE	no_detected_CRE	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00150	no_detected_CRE	no_detected_CRE	present	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00151	turnover_candidate	present	turnover_candidate	present	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00152	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00153	turnover_candidate	turnover_candidate	turnover_candidate	turnover_candidate	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00154	uncertain	no_detected_CRE	no_detected_CRE	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00156	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00158	no_detected_CRE	uncertain	uncertain	no_detected_CRE	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
DMEL_CRE_00160	uncertain	uncertain	uncertain	uncertain	not_singleton_contrast	other_pattern	NA	NA	NA	0	repleta_group	d_repleta|d_buzzatii|d_mojavensis|d_arizonae	4
