dmel_cre_id	scenario	n_focal_tier1_clades	focal_tier1_clades	n_secondary_only_tier1_clades	secondary_only_tier1_clades	n_total_tier1_clades	candidate_priority	candidate_retained	primary_candidate_priority	same_priority_as_primary
DMEL_CRE_00106	ov075_dist48000	1	teissieri_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00121	ov025_dist12000	1	obscura_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00121	ov025_dist24000	1	obscura_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00121	ov025_dist48000	1	obscura_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00121	ov050_dist12000	1	obscura_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00121	ov050_dist24000	1	obscura_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00121	ov050_dist48000	1	obscura_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00121	ov075_dist12000	0		0		0	not_tier1_candidate	no	focal_single	no
DMEL_CRE_00121	ov075_dist24000	0		0		0	not_tier1_candidate	no	focal_single	no
DMEL_CRE_00121	ov075_dist48000	0		0		0	not_tier1_candidate	no	focal_single	no
DMEL_CRE_00122	ov025_dist12000	0		0		0	not_tier1_candidate	no	focal_single	no
DMEL_CRE_00122	ov025_dist24000	0		0		0	not_tier1_candidate	no	focal_single	no
DMEL_CRE_00122	ov025_dist48000	0		0		0	not_tier1_candidate	no	focal_single	no
DMEL_CRE_00122	ov050_dist12000	1	obscura_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00122	ov050_dist24000	1	obscura_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00122	ov050_dist48000	1	obscura_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00122	ov075_dist12000	0		2	rufa_group|teissieri_group	2	secondary_recurrent	yes	focal_single	no
DMEL_CRE_00122	ov075_dist24000	0		2	rufa_group|teissieri_group	2	secondary_recurrent	yes	focal_single	no
DMEL_CRE_00122	ov075_dist48000	0		2	rufa_group|teissieri_group	2	secondary_recurrent	yes	focal_single	no
DMEL_CRE_00154	ov025_dist12000	0		0		0	not_tier1_candidate	no	focal_single	no
DMEL_CRE_00154	ov025_dist24000	0		0		0	not_tier1_candidate	no	focal_single	no
DMEL_CRE_00154	ov025_dist48000	0		0		0	not_tier1_candidate	no	focal_single	no
DMEL_CRE_00154	ov050_dist12000	1	rufa_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00154	ov050_dist24000	1	rufa_group	0		1	focal_single	yes	focal_single	yes
DMEL_CRE_00154	ov050_dist48000	1	rufa_group	0		1	focal_single	yes	focal_single	yes
